Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0,1.3645,0.7626,-0.0058,-0.8594,-1.0858,-1.4736,-0.3184,-0.4042,4.7379,0.4438
1,1.0037,0.5822,-0.4616,-0.7293,-1.1948,1.5194,1.4092,0.1083,-0.6372,0.0822
2,-0.7545,-1.5274,2.3194,-2.1904,0.2517,-0.2589,-0.2213,-0.5588,-0.1692,-2.1337
3,-2.501,0.3243,-0.5274,0.9583,-1.7956,-0.8296,-0.5268,-0.4156,-0.3642,0.0745
4,-0.6132,0.1774,-2.31,-0.7418,2.5305,-1.0725,0.9759,-0.5254,-0.2091,-0.0799
5,2.5228,0.1738,-0.6284,-0.7802,-0.3558,-1.7012,-3.3095,1.6967,-2.0162,0.3639
6,-1.7222,0.4006,0.2819,0.3126,1.5883,2.5605,-1.289,3.4586,1.4462,0.2034
7,1.1379,-2.0705,0.461,2.4156,0.4939,0.2294,0.1716,-0.4647,0.1042,0.1764
8,0.7396,5.3908,3.5656,1.8757,1.9085,-0.417,-0.0604,-1.5117,-0.8708,-0.0787
9,-2.4126,-3.4155,5.62,-5.741,1.4983,-0.0665,-0.1355,-2.7418,-1.4722,11.7853
