PC,variance,variance_ratio,cumulative_ratio
PC1,3.1253349828638735,0.12879732677926764,0.12879732677926764
PC2,2.6225543355393577,0.1080773707787726,0.23687469755804025
PC3,2.558769732372654,0.10544876091052102,0.34232345846856127
PC4,2.495501040209376,0.1028414121097907,0.44516487057835197
PC5,2.375743026408141,0.09790609729631763,0.5430709678746696
PC6,2.3400216852062004,0.09643399485577728,0.6395049627304469
PC7,2.297179332271289,0.09466843034470712,0.734173393075154
PC8,2.284120268455747,0.09413025683085857,0.8283036499060126
PC9,2.2409760239986496,0.09235225115068235,0.9206559010566949
PC10,1.925326358180602,0.07934409894330521,1.0000000000000002
